model,condition,corruption_type,severity,confidence_type,ece,mce,dece,rmsd,map50,n_predictions,n_bins_populated,map_is_tied_to_raw
yolov8,clean,none,0,raw,0.06050875476523995,0.3215210073524052,0.1087069562211135,0.08904615319081416,0.9099397881059839,857,15,False
yolov8,clean,none,0,ts,0.05778683940609775,0.2877727980548972,0.13791081805563918,0.11500314969184165,0.9099397881059839,857,14,True
yolov8,clean,none,0,dcn,0.024856704282884067,0.501343235373497,0.11757837352967769,0.05073306218314683,0.9119116202174338,857,15,False
yolov8,brightness_variation_S1,brightness_variation,1,raw,0.060215103181108794,0.3376303166151047,0.10706380498329746,0.08888553141986046,0.9161745219196866,876,15,False
yolov8,brightness_variation_S1,brightness_variation,1,ts,0.05501057516344766,0.28919262305571747,0.13638964719862565,0.11384911844978787,0.9161745219196866,876,14,True
yolov8,brightness_variation_S1,brightness_variation,1,dcn,0.02367839956396688,0.1809818148612976,0.1223278662804344,0.03905645221554101,0.9095595477693836,876,15,False
yolov8,brightness_variation_S2,brightness_variation,2,raw,0.06108494568219281,0.41814432612487246,0.10815385265027129,0.09568698559731514,0.9159603347969353,880,15,False
yolov8,brightness_variation_S2,brightness_variation,2,ts,0.0605810595077406,0.36032202592375495,0.137185561535298,0.12063953168754732,0.9159603347969353,880,14,True
yolov8,brightness_variation_S2,brightness_variation,2,dcn,0.036059513864827086,0.2752396812041601,0.13747226216470482,0.05456331652390713,0.8940486201779929,880,15,False
yolov8,brightness_variation_S3,brightness_variation,3,raw,0.059753804210901304,0.42805660764376324,0.1087268590077267,0.088213550515498,0.9106202302085804,926,15,False
yolov8,brightness_variation_S3,brightness_variation,3,ts,0.057160867209427715,0.42893795901739834,0.13699482358612625,0.11419969898305705,0.9106202302085804,926,14,True
yolov8,brightness_variation_S3,brightness_variation,3,dcn,0.050946901434706635,0.4809705317020416,0.14904232797983302,0.06974164833224,0.8852342278055836,926,15,False
yolov8,brightness_variation_S4,brightness_variation,4,raw,0.05576405934498571,0.276350200176239,0.10783767587765584,0.07193348448017595,0.8970993085000152,1034,15,False
yolov8,brightness_variation_S4,brightness_variation,4,ts,0.04910636820777612,0.2412114853767685,0.1355555545635265,0.0913808836033185,0.8970993085000152,1034,14,True
